album rock,big room,classic rock,dance pop,electro house,electropop,gangster rap,hard rock,hip hop,hip pop,indie poptimism,latin hip hop,latin pop,neo soul,new jack swing,permanent wave,pop edm,post-teen pop,progressive electro house,reggaeton,southern hip hop,trap,tropical,urban contemporary
0.4018888888888889,,0.5778333333333333,0.547,,0.6035999999999999,0.8058461538461538,0.502875,0.8425,0.736625,,0.7050000000000001,0.5215714285714286,0.7204285714285714,0.697888888888889,0.5413,,0.6801428571428572,0.732,,0.7856500000000001,,,0.7365999999999999
0.496625,,0.3303333333333333,0.565,0.727,0.527,0.754,0.4495,0.783,0.7191666666666666,0.345,0.654,0.6537142857142857,0.7091052631578948,0.7027777777777778,0.5032666666666666,,0.46075,,0.8265,0.7665263157894737,,,0.658
0.5502857142857143,,0.5367142857142857,,,0.7706666666666666,0.6654,0.41571428571428576,0.927,0.7421428571428572,0.787,0.8318571428571427,0.6734,0.6725,0.7329,0.449,,0.6595,0.6839999999999999,0.7715555555555556,0.7355,,,0.5196666666666666
0.5065,,0.5057142857142857,,,0.6443333333333333,0.7864615384615384,0.5737,0.6982,0.7282,,0.7973,0.605,0.6354166666666666,0.7509285714285714,0.44463636363636366,,0.6806,0.798,0.7715714285714286,0.7426315789473684,,0.7466666666666666,0.5561666666666667
0.48623529411764704,,0.5995384615384615,0.607,,0.41980000000000006,0.6708571428571428,0.5209230769230769,0.548,0.6495,,0.7079375,0.60275,0.6152,0.6955,0.5709411764705882,,,0.651,0.8245,0.6487692307692308,,0.703,0.6609999999999999
0.5394444444444445,0.435,0.5068888888888889,0.7115,,0.6071,0.6912666666666667,0.44089999999999996,0.7066666666666667,0.6888,,0.749,0.6182222222222222,0.6185714285714285,0.6963636363636364,0.5154666666666666,,0.587125,0.7355454545454545,0.7854117647058824,0.6966333333333333,,0.7494,0.5694285714285714
0.5851052631578948,0.211,0.6072857142857143,0.559,0.915,0.6141538461538462,0.6971578947368421,0.4558,0.67625,0.6202857142857142,0.718,0.7200952380952381,0.6527894736842106,0.59325,0.7147272727272728,0.49592857142857144,,0.6600714285714285,0.7779411764705882,0.7636666666666667,0.6658999999999999,,0.7639999999999999,0.6923333333333334
0.5771428571428572,,0.5162903225806451,0.7923333333333332,0.742,0.5866190476190476,0.6756923076923077,0.44952941176470584,0.757,0.7215555555555555,0.7293333333333333,0.6663783783783783,0.6260833333333333,0.6250800000000001,0.7624000000000001,0.4990833333333333,,0.5818666666666666,0.7475428571428572,0.7470666666666667,0.6631999999999999,,0.7505,0.6550714285714285
0.4616363636363637,,0.5683333333333334,0.6908,0.914,0.5687,0.639923076923077,0.46849999999999997,0.79,0.7565,0.682875,0.7154090909090909,0.734,0.5714666666666666,0.736,0.45577777777777784,0.6723333333333333,0.5306666666666667,0.7543000000000001,0.7918181818181819,0.6518333333333334,,0.6303333333333333,0.59875
0.5837575757575757,0.679,0.5637368421052632,0.685,0.79375,0.627,0.6823529411764706,0.498,0.5553333333333333,0.6566,0.5921666666666666,0.71975,0.7230666666666666,0.589375,0.723,0.441,0.66125,0.5616744186046512,0.7208333333333333,0.773,0.6349,,0.62225,0.5343333333333333
0.548,0.5153333333333333,0.583,0.603,0.7985000000000001,0.6544285714285715,0.6666666666666666,0.4866666666666667,,,0.6815,0.7162352941176471,0.6152,0.6202826086956522,0.8002857142857144,0.5196666666666666,0.6445,0.5381351351351352,0.7226666666666667,0.7606363636363637,0.6665428571428572,,0.16,0.6122380952380952
0.40871428571428575,0.6499999999999999,0.6158888888888889,0.6845,0.7586,0.6513870967741936,0.6571764705882354,0.4769375,,0.625125,0.5793157894736842,0.66916,0.5866842105263158,0.596025641025641,0.8187,0.6009166666666667,0.6682,0.6537058823529411,0.6545892857142857,0.7749333333333334,0.6202363636363636,0.502,0.56,0.5942857142857143
0.357,0.5789090909090909,0.6483333333333333,0.55525,0.7892727272727273,0.6133571428571428,0.6506363636363637,0.513,0.644,0.6376666666666667,0.6340882352941177,0.7028275862068966,0.6138076923076923,0.6325652173913043,0.77625,0.5277333333333334,0.6402857142857143,0.6213571428571428,0.6389262295081967,0.817875,0.67588,0.6753333333333332,0.6953125,0.6153913043478261
0.48433333333333334,0.6114430379746836,0.43933333333333335,0.6896666666666667,0.7373333333333333,0.6208695652173912,0.632108108108108,0.4692083333333333,0.6758571428571428,0.6493333333333333,0.6010769230769231,0.728906976744186,0.6369714285714286,0.661241935483871,0.7863571428571429,0.49888888888888894,0.6315862068965516,0.5936,0.6204961832061069,0.7158181818181818,0.6577746478873239,0.5547142857142857,0.6658571428571429,0.6165161290322582
0.49124999999999996,0.6313936170212766,0.6334615384615384,0.533,0.7072222222222222,0.6501090909090909,0.6899090909090909,0.45073684210526316,0.6809130434782609,0.638,0.6272888888888889,0.7146612903225806,0.6720277777777778,0.6259189189189189,0.7538571428571429,0.5669166666666666,0.6345753424657534,0.688695652173913,0.6511309523809524,0.7243846153846154,0.6811960784313725,0.6986363636363636,0.6934363636363637,0.66526
0.5225,0.5571818181818182,0.5144705882352941,0.6455,0.6986379310344828,0.6475555555555556,0.6744239130434783,0.41527272727272724,0.6793684210526315,0.6438,0.61470625,0.7292727272727273,0.69396,0.6653870967741935,0.744,0.5507894736842105,0.6503541666666667,0.6872857142857143,0.6735,0.7756190476190477,0.6655949367088607,0.6438823529411765,0.6639594594594594,0.6197142857142858
0.5036111111111111,0.6350588235294117,0.557375,0.6452777777777778,0.7398791208791208,0.6265396825396825,0.6951854304635762,0.47050000000000003,0.7183409090909091,0.6873846153846154,0.6024174757281553,0.7424597701149425,0.6771851851851851,0.6202372881355932,0.6719999999999999,0.5160555555555555,0.6038190476190477,0.6751481481481482,0.6481612903225806,0.7555333333333334,0.7128333333333333,0.7052131147540984,0.6574494736842106,0.6063146067415731
0.526,0.6362962962962962,0.5181666666666667,0.633704347826087,0.7278837209302326,0.6246428571428572,0.7422093023255815,0.46193181818181817,0.7062767295597484,0.6904313725490197,0.6567943925233645,0.7366260869565218,0.6779090909090909,0.6764285714285714,0.677,0.5830909090909091,0.6246781609195402,0.6603548387096774,0.661,0.7306153846153846,0.6466382978723404,0.7129881656804734,0.7139745762711864,0.6161891891891892
0.5208571428571428,0.6249884393063584,0.5180645161290323,0.671054794520548,0.7172386058981233,0.6336101694915255,0.7517999999999999,0.47885777777777777,0.7121223021582733,0.6678062015503876,0.6253222222222222,0.7474311926605505,0.6817657992565056,0.6550970873786407,0.758,0.4991311475409836,0.6662456140350878,0.6624505494505495,0.646688596491228,0.7582967741935484,0.6906304347826087,0.7376951672862453,0.7043697222222223,0.6938258706467662
,0.6932142857142857,,0.6643333333333333,0.68428,0.5612,0.61,0.4460434782608696,0.7501232876712329,0.7140333333333333,0.6297575757575757,0.7914,0.6771304347826087,0.5535,,0.5408571428571428,0.65715,0.378,0.6186153846153846,0.7942727272727272,,0.6394838709677418,0.7372727272727272,0.782
